country,continent,site_name,pop_den,month_start,year_start,month_end,year_end,examined,pf_pos,pf_pr,pf_pa,method,gdpvl,Roq1,Roq2,Roq3,Roq4,R0G0qt1,permissions_info,source_id1,title1,citation1,source_id2,title2,citation2
Benin,Africa,Ladji,955.05,2,2003,12,2004,291,135,0.4639,1,Microscopy,1690.92,0.607,0.944,0.842,0.324,0.949,NA,4956,"Malaria morbidity in children living in Lagoon area on the coast of Benin, West Africa: Determining factors and implications for malaria control [MIM16692495]","Nahum, A., Erhart, A., Maye, A., Ahounou, D., van Overmeir, C., Menten, J., van Loen, H., Akogbeto, M., Coosemans, M., Massougbodji, A. and D'Alessandro, U. (2009). <i>Malaria morbidity in children living in Lagoon area on the coast of Benin, West Africa: Determining factors and implications for malaria control [MIM16692495].</i> In: Fifth MIM Pan-African Malaria Conference. Nairobi. 455.",5600,Personal communication from A.Nahum,"Nahum, A. and D'Alessandro, U., . (2009) personal communication."
Benin,Africa,Toweta 1 and Toweta 2 (Cotonou),1268.36,2,2003,3,2003,500,203,0.406,1,Microscopy,1690.92,0.607,0.944,0.842,0.324,0.949,NA,6178,"Malaria incidence and prevalence among children living in a peri-urban area on the coast of benin, west Africa: a longitudinal study.","Nahum, A, Erhart, A, Mayé, A, Ahounou, D, van Overmeir, C, Menten, J, van Loen, H, Akogbeto, M, Coosemans, M, Massougbodji, A and D'Alessandro, U (2010).  <b>Malaria incidence and prevalence among children living in a peri-urban area on the coast of benin, west Africa: a longitudinal study.</b> <i>The American journal of tropical medicine and hygiene</i>, <b>83</b>(3):465-73",NA,,
Benin,Africa,Toweta 2,1128.02,2,2003,12,2004,291,157,0.5395,1,Microscopy,1690.92,0.607,0.944,0.842,0.324,0.949,NA,4956,"Malaria morbidity in children living in Lagoon area on the coast of Benin, West Africa: Determining factors and implications for malaria control [MIM16692495]","Nahum, A., Erhart, A., Maye, A., Ahounou, D., van Overmeir, C., Menten, J., van Loen, H., Akogbeto, M., Coosemans, M., Massougbodji, A. and D'Alessandro, U. (2009). <i>Malaria morbidity in children living in Lagoon area on the coast of Benin, West Africa: Determining factors and implications for malaria control [MIM16692495].</i> In: Fifth MIM Pan-African Malaria Conference. Nairobi. 455.",5600,Personal communication from A.Nahum,"Nahum, A. and D'Alessandro, U., . (2009) personal communication."
Benin,Africa,Cotonou - Gbeto School,17890.84,3,2003,3,2003,234,6,0.0256,1,Microscopy,1690.92,0.522,0.822,0.966,0.406,0.896,NA,674,Rapid Urban Malaria Appraisal (RUMA) IV: epidemiology of urban malaria in Cotonou (Benin).,"Wang, S.J., Lengeler, C., Smith, T.A., Vounatsou, P., Akogbeto, M. and Tanner, M. (2006).  <b>Rapid Urban Malaria Appraisal (RUMA) IV: epidemiology of urban malaria in Cotonou (Benin).</b> <i>Malaria Journal</i>, <b>5</b>():45",5449,Personal communication from C.Lengeler,"Wang, S.J., . (2005) personal communication."
Benin,Africa,Cotonou - Menontin School,4875.2,3,2003,3,2003,204,5,0.0245,1,Microscopy,1690.92,0.494,0.781,0.944,0.351,0.873,NA,674,Rapid Urban Malaria Appraisal (RUMA) IV: epidemiology of urban malaria in Cotonou (Benin).,"Wang, S.J., Lengeler, C., Smith, T.A., Vounatsou, P., Akogbeto, M. and Tanner, M. (2006).  <b>Rapid Urban Malaria Appraisal (RUMA) IV: epidemiology of urban malaria in Cotonou (Benin).</b> <i>Malaria Journal</i>, <b>5</b>():45",5449,Personal communication from C.Lengeler,"Wang, S.J., . (2005) personal communication."
Benin,Africa,Cotonou - Sainte-Rita School,5422.05,3,2003,3,2003,296,27,0.0912,1,Microscopy,1690.92,0.494,0.781,0.944,0.351,0.873,NA,674,Rapid Urban Malaria Appraisal (RUMA) IV: epidemiology of urban malaria in Cotonou (Benin).,"Wang, S.J., Lengeler, C., Smith, T.A., Vounatsou, P., Akogbeto, M. and Tanner, M. (2006).  <b>Rapid Urban Malaria Appraisal (RUMA) IV: epidemiology of urban malaria in Cotonou (Benin).</b> <i>Malaria Journal</i>, <b>5</b>():45",5449,Personal communication from C.Lengeler,"Wang, S.J., . (2005) personal communication."
Benin,Africa,Toweta 1 and Toweta 2 (Cotonou),1268.36,2,2004,3,2004,381,155,0.4068,1,Microscopy,1579.82,0.982,0.944,0.842,0.687,0.995,NA,6178,"Malaria incidence and prevalence among children living in a peri-urban area on the coast of benin, west Africa: a longitudinal study.","Nahum, A, Erhart, A, Mayé, A, Ahounou, D, van Overmeir, C, Menten, J, van Loen, H, Akogbeto, M, Coosemans, M, Massougbodji, A and D'Alessandro, U (2010).  <b>Malaria incidence and prevalence among children living in a peri-urban area on the coast of benin, west Africa: a longitudinal study.</b> <i>The American journal of tropical medicine and hygiene</i>, <b>83</b>(3):465-73",NA,,
Benin,Africa,Toweta 1 and Toweta 2 (Cotonou),1268.36,10,2004,11,2004,338,233,0.6893,1,Microscopy,1579.82,0.607,0.635,0.406,0.324,0.949,NA,6178,"Malaria incidence and prevalence among children living in a peri-urban area on the coast of benin, west Africa: a longitudinal study.","Nahum, A, Erhart, A, Mayé, A, Ahounou, D, van Overmeir, C, Menten, J, van Loen, H, Akogbeto, M, Coosemans, M, Massougbodji, A and D'Alessandro, U (2010).  <b>Malaria incidence and prevalence among children living in a peri-urban area on the coast of benin, west Africa: a longitudinal study.</b> <i>The American journal of tropical medicine and hygiene</i>, <b>83</b>(3):465-73",NA,,
Benin,Africa,Ouidah,447.01,12,2006,12,2006,375,53,0.1413,1,RDT,1567.18,0.822,0.966,0.406,0.522,0.984,NA,4532,Imbalanced distribution of GM immunoglobulin allotypes according to the clinical presentation of Plasmodium falciparum malaria in Beninese children.,"Migot-Nabias, F., Noukpo, J.M., Guitard, E., Doritchamou, J., Garcia, A. and Dugoujon, J.M. (2008).  <b>Imbalanced distribution of GM immunoglobulin allotypes according to the clinical presentation of <i>Plasmodium falciparum</i> malaria in Beninese children.</b> <i>The Journal of Infectious Diseases</i>, <b>198</b>(12):1892-5",5549,Personal communication from F.Migot-Nabias,"Migot-Nabias, F, . (2008) personal communication."
Benin,Africa,Aidjedo,822.79,12,2007,12,2007,427,59,0.1382,1,Microscopy,1610.63,0.781,0.944,0.351,0.494,0.982,NA,6172,Malaria infection and disease in an area with pyrethroid-resistant vectors in southern Benin.,"Damien, GB, Djènontin, A, Rogier, C, Corbel, V, Bangana, SB, Chandre, F, Akogbéto, M, Kindé-Gazard, D, Massougbodji, A and Henry, MC (2010).  <b>Malaria infection and disease in an area with pyrethroid-resistant vectors in southern Benin.</b> <i>Malaria Journal</i>, <b>9</b>():380",NA,,
Benin,Africa,Dokanme,105.56,12,2007,12,2007,414,77,0.186,1,Microscopy,1610.63,0.842,0.975,0.406,0.551,0.985,NA,6172,Malaria infection and disease in an area with pyrethroid-resistant vectors in southern Benin.,"Damien, GB, Djènontin, A, Rogier, C, Corbel, V, Bangana, SB, Chandre, F, Akogbéto, M, Kindé-Gazard, D, Massougbodji, A and Henry, MC (2010).  <b>Malaria infection and disease in an area with pyrethroid-resistant vectors in southern Benin.</b> <i>Malaria Journal</i>, <b>9</b>():380",NA,,
Benin,Africa,Guezohoue,210.98,12,2007,12,2007,410,27,0.0659,1,Microscopy,1610.63,0.859,0.987,0.466,0.579,0.986,NA,6172,Malaria infection and disease in an area with pyrethroid-resistant vectors in southern Benin.,"Damien, GB, Djènontin, A, Rogier, C, Corbel, V, Bangana, SB, Chandre, F, Akogbéto, M, Kindé-Gazard, D, Massougbodji, A and Henry, MC (2010).  <b>Malaria infection and disease in an area with pyrethroid-resistant vectors in southern Benin.</b> <i>Malaria Journal</i>, <b>9</b>():380",NA,,
Benin,Africa,Hekandji,447.01,12,2007,12,2007,392,82,0.2092,1,Microscopy,1610.63,0.842,0.975,0.406,0.551,0.985,NA,6172,Malaria infection and disease in an area with pyrethroid-resistant vectors in southern Benin.,"Damien, GB, Djènontin, A, Rogier, C, Corbel, V, Bangana, SB, Chandre, F, Akogbéto, M, Kindé-Gazard, D, Massougbodji, A and Henry, MC (2010).  <b>Malaria infection and disease in an area with pyrethroid-resistant vectors in southern Benin.</b> <i>Malaria Journal</i>, <b>9</b>():380",NA,,
Benin,Africa,Kindjitokpa,309.88,12,2007,12,2007,405,99,0.2444,1,Microscopy,2212.97,0.842,0.982,0.494,0.551,0.985,NA,6172,Malaria infection and disease in an area with pyrethroid-resistant vectors in southern Benin.,"Damien, GB, Djènontin, A, Rogier, C, Corbel, V, Bangana, SB, Chandre, F, Akogbéto, M, Kindé-Gazard, D, Massougbodji, A and Henry, MC (2010).  <b>Malaria infection and disease in an area with pyrethroid-resistant vectors in southern Benin.</b> <i>Malaria Journal</i>, <b>9</b>():380",NA,,
Benin,Africa,Satre,105.56,12,2007,12,2007,364,129,0.3544,1,Microscopy,1610.63,0.859,0.987,0.466,0.579,0.986,NA,6172,Malaria infection and disease in an area with pyrethroid-resistant vectors in southern Benin.,"Damien, GB, Djènontin, A, Rogier, C, Corbel, V, Bangana, SB, Chandre, F, Akogbéto, M, Kindé-Gazard, D, Massougbodji, A and Henry, MC (2010).  <b>Malaria infection and disease in an area with pyrethroid-resistant vectors in southern Benin.</b> <i>Malaria Journal</i>, <b>9</b>():380",NA,,
Benin,Africa,Wanho,105.56,12,2007,12,2007,426,145,0.3404,1,Microscopy,1610.63,0.822,0.966,0.378,0.522,0.984,NA,6172,Malaria infection and disease in an area with pyrethroid-resistant vectors in southern Benin.,"Damien, GB, Djènontin, A, Rogier, C, Corbel, V, Bangana, SB, Chandre, F, Akogbéto, M, Kindé-Gazard, D, Massougbodji, A and Henry, MC (2010).  <b>Malaria infection and disease in an area with pyrethroid-resistant vectors in southern Benin.</b> <i>Malaria Journal</i>, <b>9</b>():380",NA,,
Benin,Africa,Avame,105.56,7,2008,7,2009,30,7,0.2333,1,Microscopy,1639.35,0.635,0.378,0.736,0.982,0.959,NA,7788,Specific antibodies to Anopheles gSG6-P1 salivary peptide to assess early childhood exposure to malaria vector bites.,"Drame, PM, Poinsignon, A, Dechavanne, C, Cottrell, G, Farce, M, Ladekpo, R, Massougbodji, A, Cornélie, S, Courtin, D, Migot-Nabias, F, Garcia, A and Remoué, F (2015).  <b>Specific antibodies to <i>Anopheles</i> gSG6-P1 salivary peptide to assess early childhood exposure to malaria vector bites.</b> <i>Malaria Journal</i>, <b>14</b>(0):285",NA,,
Benin,Africa,Cada,105.56,7,2008,7,2009,9,0,0,0,Microscopy,1639.35,0.635,0.406,0.736,0.982,0.959,NA,7788,Specific antibodies to Anopheles gSG6-P1 salivary peptide to assess early childhood exposure to malaria vector bites.,"Drame, PM, Poinsignon, A, Dechavanne, C, Cottrell, G, Farce, M, Ladekpo, R, Massougbodji, A, Cornélie, S, Courtin, D, Migot-Nabias, F, Garcia, A and Remoué, F (2015).  <b>Specific antibodies to <i>Anopheles</i> gSG6-P1 salivary peptide to assess early childhood exposure to malaria vector bites.</b> <i>Malaria Journal</i>, <b>14</b>(0):285",NA,,
Benin,Africa,Zoungoudo,323.99,7,2008,7,2009,10,5,0.5,1,Microscopy,912.65,0.661,0.324,0.687,0.987,0.966,NA,7788,Specific antibodies to Anopheles gSG6-P1 salivary peptide to assess early childhood exposure to malaria vector bites.,"Drame, PM, Poinsignon, A, Dechavanne, C, Cottrell, G, Farce, M, Ladekpo, R, Massougbodji, A, Cornélie, S, Courtin, D, Migot-Nabias, F, Garcia, A and Remoué, F (2015).  <b>Specific antibodies to <i>Anopheles</i> gSG6-P1 salivary peptide to assess early childhood exposure to malaria vector bites.</b> <i>Malaria Journal</i>, <b>14</b>(0):285",NA,,
Burkina Faso,Africa,Kongodjan,6.71,1,1985,5,1985,72,47,0.6528,1,Microscopy,NA,0.822,0.894,0,0.944,0.984,NA,464,Plasmodium falciparum incidence and patency in a high seasonal transmission area of Burkina Faso.,"Gazin, P., Robert, V., Cot, M. and Carnevale, P. (1988).  <b><i>Plasmodium falciparum</i> incidence and patency in a high seasonal transmission area of Burkina Faso.</b> <i>Transactions of the Royal Society of Tropical Medicine and Hygiene</i>, <b>82</b>(1):50-5",NA,,
Burkina Faso,Africa,Tago,11.35,1,1985,5,1985,61,30,0.4918,1,Microscopy,NA,0.781,0.894,0,0.551,0.982,NA,464,Plasmodium falciparum incidence and patency in a high seasonal transmission area of Burkina Faso.,"Gazin, P., Robert, V., Cot, M. and Carnevale, P. (1988).  <b><i>Plasmodium falciparum</i> incidence and patency in a high seasonal transmission area of Burkina Faso.</b> <i>Transactions of the Royal Society of Tropical Medicine and Hygiene</i>, <b>82</b>(1):50-5",NA,,
Burkina Faso,Africa,Vallee du Kou # 4,16.11,3,1985,3,1985,760,70,0.0921,1,Microscopy,NA,0.877,0.687,0.759,0.736,0.987,NA,4005,Epidemiology of Plasmodium falciparum in a rice field and a savanna area in Burkina Faso. Comparative study on the acquired immunoprotection in native populations.,"Boudin, C., Robert, V., Carnevale, P. and Ambroise-Thomas, P. (1992).  <b>Epidemiology of <i>Plasmodium falciparum</i> in a rice field and a savanna area in Burkina Faso. Comparative study on the acquired immunoprotection in native populations.</b> <i>Acta Tropica</i>, <b>51</b>(2):103-11",NA,,
Burkina Faso,Africa,Bobo Dioulasso (Colma-Nord),1693.83,4,1985,4,1985,200,32,0.16,1,Microscopy,NA,0.975,0.803,0.975,0.803,0.993,NA,463,Le paludisme urbain à Bobo-Dioulasso (Burkina Faso) 2. Les indices paludologiques.,"Gazin, P., Robert, V. and Carnevale, P. (1987).  <b>Le paludisme urbain à Bobo-Dioulasso (Burkina Faso) 2. Les indices paludologiques.</b> <i>Cahiers ORSTOM, série Entomologie Médicale et Parasitologie</i>, <b>25</b>(1):27-31",NA,,
